代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	
000001	平安银行	-1.08	16.52	-0.18	16.52	16.53	1427575	14755	0.24	          1.21	16.70	16.70	16.28	16.70	    10.06	2351547392	  0.49	银行	深圳	
000002	万  科Ａ	-0.34	14.55	-0.05	14.55	14.56	3091768	17797	0.13	          3.19	14.62	14.79	14.40	14.60	    61.75	4513107968	  0.78	房地产开发	深圳	
000004	国农科技	1.66	25.75	0.42	25.75	25.76	32674	95	-0.07	          3.90	25.33	26.09	25.13	25.33	--  	84292040	  0.86	生物制品	深圳	
000005	世纪星源	--  	4.10	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	4.10	--  	0	  0.00	房地产开发	深圳	
000006	深振业Ａ	-2.31	11.41	-0.27	11.40	11.41	449492	5462	0.00	          3.36	11.76	11.85	11.28	11.68	    19.10	515322944	  0.77	房地产开发	深圳	
000007	零七股份	-1.52	26.00	-0.40	26.00	26.01	82423	862	-0.57	          4.00	27.13	27.19	25.98	26.40	--  	219168960	  0.75	有色金属	深圳	
000008	神州高铁	--  	26.87	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	26.87	    95.59	0	  0.00	酒店	深圳	
000009	中国宝安	-0.04	22.37	-0.01	22.36	22.37	572450	9468	0.49	          3.84	22.38	22.67	21.59	22.38	   160.20	1260482432	  0.66	综合	深圳	
000010	深华新	--  	7.40	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	7.40	--  	0	  0.00	综合	北京	
000011	深物业A	-2.67	14.24	-0.39	14.23	14.24	104574	1568	-0.07	          5.95	14.40	14.50	14.13	14.63	  5954.77	148950672	  0.74	房地产开发	深圳	
000012	南  玻Ａ	-0.19	15.46	-0.03	15.45	15.46	794406	7692	-0.19	          6.10	15.44	16.14	15.27	15.49	    97.58	1250961664	  0.71	建筑材料	深圳	
000014	沙河股份	0.18	21.75	0.04	21.75	21.78	40974	278	0.00	          2.03	21.70	22.20	21.49	21.71	  3261.29	89821128	  0.91	房地产开发	深圳	
000016	深康佳Ａ	1.00	16.15	0.16	16.13	16.15	346389	2914	0.93	          5.77	16.31	16.58	15.44	15.99	   627.04	552345152	  1.08	视听器材	深圳	
000017	深中华A	-2.36	14.89	-0.36	14.89	14.90	136170	2058	0.00	          4.49	15.25	15.58	14.85	15.25	  7540.02	206538592	  1.00	非汽车交运	深圳	
000018	中冠A	-4.57	29.26	-1.40	29.26	29.29	19724	381	0.03	          1.98	30.58	30.64	29.21	30.66	--  	58445756	  0.91	综合	深圳	
000019	深深宝Ａ	-6.66	14.43	-1.03	14.43	14.44	154337	740	0.34	          6.12	15.46	15.46	14.01	15.46	--  	224893696	  1.12	饮料制造	深圳	
000020	深华发Ａ	2.52	15.48	0.38	15.47	15.48	45800	242	0.06	          7.08	15.05	15.69	14.91	15.10	  2141.55	70413248	  0.56	电子制造	深圳	
000021	深科技	-0.58	13.63	-0.08	13.63	13.64	485332	1730	-0.07	          3.30	13.76	13.90	13.40	13.71	    96.71	662941248	  0.70	计算机设备	深圳	
000022	深赤湾Ａ	--  	26.69	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	26.69	    41.94	0	  0.00	港口	深圳	
000023	深天地Ａ	-3.27	26.01	-0.88	26.00	26.01	64147	595	-0.42	          4.62	27.10	27.10	25.60	26.89	--  	166892240	  0.81	建筑材料	深圳	
000024	招商地产	--  	31.96	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	31.96	    31.51	0	  0.00	房地产开发	深圳	
000025	特  力Ａ	-1.94	19.19	-0.38	19.18	19.19	22353	324	0.05	          1.25	19.30	19.75	19.10	19.57	  1809.91	43053828	  0.42	交运服务	深圳	
000026	飞亚达Ａ	1.07	17.08	0.18	17.07	17.08	60854	671	0.11	          1.96	16.86	17.40	16.71	16.90	    37.30	104031536	  0.77	家用轻工	深圳	
000027	深圳能源	4.12	15.18	0.60	15.18	15.19	485191	9940	0.06	          5.06	14.52	15.18	14.41	14.58	    27.54	727303488	  1.16	电力	深圳	
000028	国药一致	1.71	75.92	1.28	75.92	75.95	46256	89	0.35	          1.98	74.70	77.99	74.29	74.64	    34.93	352968416	  1.18	医药商业	深圳	
000029	深深房Ａ	-2.09	11.69	-0.25	11.69	11.70	159475	1218	0.08	          1.79	11.96	12.17	11.61	11.94	   118.65	187631664	  0.69	房地产开发	深圳	
000030	富奥股份	6.50	12.94	0.79	12.93	12.94	296171	7225	0.85	          5.28	12.57	12.97	12.57	12.15	    25.91	378645856	  1.36	汽车部件	吉林	
000031	中粮地产	-3.04	11.79	-0.37	11.79	11.80	791369	7752	-0.08	          4.36	12.00	12.15	11.60	12.16	    74.33	936417600	  0.66	房地产开发	深圳	
000032	深桑达Ａ	-1.13	21.06	-0.24	21.06	21.08	27303	494	-0.28	          1.17	21.06	21.45	20.76	21.30	  2525.29	57564868	  0.52	通信设备	深圳	
000033	*ST新都	--  	10.38	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.38	--  	0	  0.00	酒店	深圳	
000034	深信泰丰	--  	9.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	9.20	    35.82	0	  0.00	通信设备	深圳	
000035	中国天楹	5.26	18.22	0.91	18.22	18.23	119175	787	0.22	          6.31	17.30	18.25	17.28	17.31	    79.10	213480624	  1.16	通信设备	江苏	
000036	华联控股	4.08	6.89	0.27	6.88	6.89	526854	4124	0.14	          4.69	6.62	7.05	6.60	6.62	--  	363313760	  1.07	房地产开发	深圳	
000037	深南电Ａ	6.52	13.23	0.81	13.22	13.23	257497	5038	0.22	          7.60	12.57	13.38	12.31	12.42	--  	332611200	  1.93	电力	深圳	
000038	深大通	--  	27.04	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	27.04	--  	0	  0.00	房地产开发	深圳	
000039	中集集团	0.74	25.88	0.19	25.87	25.88	271143	2879	-0.11	          2.18	25.70	26.11	25.40	25.69	    34.76	698435776	  0.75	金属制品	深圳	
000040	宝安地产	-1.14	9.57	-0.11	9.57	9.58	162714	650	0.20	          3.50	9.60	9.80	9.50	9.68	   173.10	156888912	  1.10	房地产开发	深圳	
000042	中洲控股	1.70	23.27	0.39	23.27	23.28	161549	1057	0.00	          3.37	22.98	23.59	22.90	22.88	     6.04	375805920	  1.23	房地产开发	深圳	
000043	中航地产	0.82	12.36	0.10	12.35	12.36	176056	6624	0.40	          2.64	12.28	12.48	12.10	12.26	--  	215834064	  0.68	房地产开发	深圳	
000045	深纺织Ａ	6.84	16.72	1.07	16.72	16.73	244493	1433	-0.11	          6.03	15.48	17.22	15.12	15.65	   487.88	394727808	  1.44	纺织制造	深圳	
000046	泛海控股	-1.65	18.51	-0.31	18.50	18.51	619303	8237	-0.32	          1.36	18.78	19.44	18.50	18.82	    81.74	1174997376	  0.81	房地产开发	深圳	
000048	康达尔	10.01	19.34	1.76	19.34	--  	185254	272	0.00	          4.88	19.00	19.34	17.80	17.58	   316.39	347729376	  2.45	饲料	深圳	
000049	德赛电池	-1.14	41.52	-0.48	41.52	41.53	58987	392	-0.07	          2.87	42.01	42.31	40.85	42.00	    36.04	244961264	  0.65	电子制造	深圳	
000050	深天马Ａ	-1.38	26.53	-0.37	26.53	26.54	110939	1111	0.18	          1.93	26.94	27.00	26.20	26.90	    58.08	294140224	  0.51	光学光电子	深圳	
000055	方大集团	5.22	13.70	0.68	13.70	13.71	171692	1156	-0.36	          4.09	13.02	13.78	13.02	13.02	   167.21	232614736	  1.04	建筑装饰	深圳	
000056	深国商	6.54	23.63	1.45	23.63	23.64	77041	3797	-0.08	          5.39	22.30	23.73	22.29	22.18	   278.95	176046576	  1.61	零售	深圳	
000058	深 赛 格	1.27	15.10	0.19	15.08	15.10	173943	1896	-0.13	          3.23	14.90	15.26	14.14	14.91	   138.77	256466704	  0.66	零售	深圳	
000059	*ST华锦	0.00	10.82	0.00	10.82	10.83	265984	1887	0.00	          2.22	10.85	11.00	10.77	10.82	--  	289639200	  0.53	石油化工	辽宁	
000060	中金岭南	0.33	18.30	0.06	18.29	18.30	570994	5316	0.27	          2.77	18.23	18.53	18.16	18.24	   173.91	1044856704	  0.71	有色金属	深圳	
000061	农 产 品	2.72	20.05	0.53	20.04	20.05	260360	3768	0.35	          1.62	19.37	20.18	19.37	19.52	--  	517457536	  0.77	贸易	深圳	
000062	深圳华强	--  	27.31	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	27.31	    87.53	0	  0.00	零售	深圳	
000063	中兴通讯	-0.80	30.90	-0.25	30.89	30.90	1192459	20196	-0.03	          4.26	31.70	32.52	30.66	31.15	    30.08	3766953984	  0.80	通信设备	深圳	
000065	北方国际	-2.84	30.80	-0.90	30.80	30.81	83188	2008	0.03	          3.28	31.49	31.86	30.25	31.70	    89.34	257392400	  0.46	建筑装饰	深圳	
000066	长城电脑	-1.28	15.42	-0.20	15.42	15.43	258992	2124	-0.19	          1.96	15.69	15.80	15.27	15.62	--  	400897472	  0.54	计算机设备	深圳	
000068	*ST华赛	--  	10.09	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.09	--  	0	  0.00	综合	深圳	
000069	华侨城Ａ	2.31	10.61	0.24	10.61	10.62	1812907	9595	-0.09	          5.82	10.37	10.83	10.37	10.37	    37.37	1923700608	  1.04	房地产开发	深圳	
000070	特发信息	1.89	23.14	0.43	23.13	23.14	88755	768	-0.25	          3.43	22.69	23.35	22.05	22.71	   116.39	202317168	  0.50	通信设备	深圳	
000078	海王生物	-2.05	20.98	-0.44	20.98	20.99	281995	2445	-0.04	          3.86	21.40	21.67	20.50	21.42	   139.31	592756992	  0.54	生物制品	深圳	
000088	盐 田 港	2.48	11.97	0.29	11.96	11.97	415556	7837	0.08	          2.14	11.68	12.08	11.51	11.68	    77.92	490718016	  0.89	港口	深圳	
000089	深圳机场	10.01	9.89	0.90	9.89	--  	623891	865	0.00	          3.69	8.99	9.89	8.95	8.99	    45.56	590992512	  2.02	机场	深圳	
000090	天健集团	1.08	23.46	0.25	23.46	23.48	74013	4057	-0.25	          1.34	23.23	23.80	22.95	23.21	    68.65	173829120	  0.52	房地产开发	深圳	
000096	广聚能源	0.49	12.43	0.06	12.43	12.44	163468	2369	-0.48	          3.20	12.30	12.53	11.91	12.37	    11.84	200919968	  0.54	石油化工	深圳	
000099	中信海直	3.61	18.65	0.65	18.65	18.66	282973	6325	0.16	          4.67	17.90	18.65	17.85	18.00	    78.77	520638144	  0.94	航空运输	深圳	
000100	TCL 集团	0.32	6.24	0.02	6.23	6.24	2909084	31523	0.16	          3.56	6.20	6.29	6.13	6.22	    25.24	1807183232	  0.61	视听器材	广东	
000150	宜华健康	--  	52.70	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	52.70	  1612.28	0	  0.00	房地产开发	广东	
000151	中成股份	-2.52	26.74	-0.69	26.74	26.75	109587	753	-0.03	          4.11	27.43	27.45	26.30	27.43	    82.97	292326400	  0.63	贸易	北京	
